25時ミク,25-ji miku
居草場ダイスケ,ikusaba daisuke
イルミ,illumi zoldyck
Illuso（Jojo・の・Kimyou・Na・Bouken）,illuso (jojo no kimyou na bouken)
光輝（アズールレーン）,illustrious (azur lane)
イリヤスフィール・フォン・アインツベルン（Fate）,illyasviel von einzbern
イリヤスフィール・フォン・アインツベルン（ビーストスタイル）（Fate）,illyasviel von einzbern (beast style)
イリヤスフィール・フォン・アインツベルン（水着アーチャー）（Fate）,illyasviel von einzbern (swimsuit archer)
イルザ,ilsa (granblue fantasy)
イルル,ilulu (maidragon)
今井リサ,imai lisa
今泉影狼（東方Project）,imaizumi kagerou
インパ,impa
怨仇（アズールレーン）,implacable (azur lane)
因幡めぐる,inaba meguru
モブイナバ,inaba mob (touhou)
因幡帝（東方Project）,inaba tewi
イナリワン（ウマ娘）,inari one (umamusume)
電（艦隊これくしょん）,inazuma (kancolle)
ガオガエン（ポケモン）,incineroar (pokemon)
インデックス,index (toaru majutsu no index)
インディアナポリス（アズールレーン）,indianapolis (azur lane)
不挠（アズールレーン）,indomitable (azur lane)
不挠（ms. motivationless メイド）（アズールレーン）,indomitable (ms. motivationless maid) (azur lane)
イネス（アークナイツ）,ines (arknights)
アイネスフウジン（ウマ娘）,ines fujin (umamusume)
ゴウカザル（ポケモン）,infernape (pokemon)
ノボリ,ingo (pokemon)
イングリッド,ingrid (capcom)
Ingrid（対魔忍アサギ）,ingrid (taimanin asagi)
イングリット=ブランドル=ガラテア,ingrid brandl galatea
イカボーイ,inkling boy
イカガール,inkling girl
井上織姫（BLEACH）,inoue orihime
井ノ上たきな,inoue takina
无畏（艦隊これくしょん）,intrepid (kancolle)
犬走椛（東方Project）,inubashiri momiji
戌神ころね,inugami korone
戌神ころね（通常）,inugami korone (1st costume)
戌神ころね（部屋着）,inugami korone (loungewear)
乾紗寿叶,inui sajuna
戌亥とこ,inui toko
犬山あおい,inuyama aoi
イオ,io (granblue fantasy)
イオナ,iona (aoki hagane no arpeggio)
ナンジャモ,iono (pokemon)
銀鏡伊織（ブルーアーカイブ）,iori (blue archive)
銀鏡伊織（水着）（ブルーアーカイブ）,iori (swimsuit) (blue archive)
愛荷華（艦隊これくしょん）,iowa (kancolle)
伊良湖（艦隊これくしょん）,irako (kancolle)
Irelia,irelia
アイリーニ（アークナイツ）,irene (arknights)
カイ（ポケモン）,irida (pokemon)
アイリス（このすば）,iris (konosuba)
アイリス,iris (pokemon)
アイリスハート,iris heart
アイリスフィール・フォン・アインツベルン（Fate）,irisviel von einzbern
アイリスフィール・フォン・アインツベルン（天使の詩）（Fate）,irisviel von einzbern (angel's song)
枣伊吕波（ブルーアーカイブ）,iroha (blue archive)
いろは,iroha (samurai spirits)
Iron・Man（Marvel）,iron man (marvel)
Ironmouse,ironmouse
入間美兎,iruma miu
Irys（ホロライブ）,irys (hololive)
イザベラ・バレンタイン,isabella valentine
しずえ,isabelle (animal crossing)
諫山黄泉,isayama yomi
伊勢（艦隊これくしょん）,ise (kancolle)
伊勢七緒（BLEACH）,ise nanao (bleach)
Isekai・Joucho,isekai joucho
井芹仁菜（ガールズバンドクライ）,iseri nina
石田雨竜（BLEACH）,ishida uryuu (bleach)
石神のぞみ,ishigami nozomi
石川月菜,ishikawa luna
イシュメール,ishmael (project moon)
イシュタル（Fate）,ishtar (fate)
イシュタル（FE聖戦）,ishtar (fire emblem)
イシュタル（水着ライダー）（Fate）,ishtar (swimsuit rider) (fate)
イスカンダル（Fate）,iskandar (fate)
シマハイイロギツネ（けものフレンズ）,island fox (kemono friends)
磯井麗慈,isoi reiji
矶風（艦隊これくしょん）,isokaze (kancolle)
矶波（艦隊これくしょん）,isonami (kancolle)
一色あかね,isshiki akane
いろはす,isshiki iroha
真理,istina (arknights)
五十鈴（艦隊これくしょん）,isuzu (kancolle)
五十鈴華（ガールズ＆パンツァー）,isuzu hana
五十鈴改二（艦隊これくしょん）,isuzu kai ni (kancolle)
虎杖悠仁（呪術廻戦）,itadori yuuji
五河琴里（デート・ア・ライブ）,itsuka kotori
斎宮宗,itsuki shu
逸見エリカ,itsumi erika
イワン・カレリン,ivan karelin
アイビー（ファイアーエムブレム）,ivy (fire emblem)
岩崎南（らき☆すた）,iwasaki minami
岩沢,iwasawa masami
Iwatooshi（Touken・Ranbu）,iwatooshi (touken ranbu)
Iws・2000（ドールズフロントライン）,iws 2000 (girls' frontline)
十六夜アキ,izayoi aki
十六夜リコ,izayoi liko
十六夜咲夜（東方Project）,izayoi sakuya
イシュミール,izmir
獅子堂泉（ブルーアーカイブ）,izumi (blue archive)
泉此方（らき☆すた）,izumi konata
泉光子郎,izumi koshiro
和泉愛依（アイドルマスター シャイニーカラーズ）,izumi mei
和泉紗霧,izumi sagiri
和泉ユキ,izumi yuki (heaven burns red)
和泉守兼定,izumi-no-kami kanesada
久田伊樹菜（ブルーアーカイブ）,izuna (blue archive)
久田伊樹菜（水着）（ブルーアーカイブ）,izuna (swimsuit) (blue archive)
イヅツミ,izutsumi
蛇喰夢子,jabami yumeko
ジャック・アトラス,jack atlas
ジャック・ザ・リッパー（Fate/Apocrypha）,jack the ripper (fate/apocrypha)
ジャック・オー,jack-o' valentine
ジャケットのあの子,jacket girl (dipp)
ジャック・ド・モレー（フォーリナー）（Fate）,jacques de molay (foreigner) (fate)
Jade（崩壊：スターレイル）,jade (honkai  star rail)
Jade・Curtiss（テイルズ オブ ジ アビス）,jade curtiss (tales of abyss)
ジャガー（けものフレンズ）,jaguar (kemono friends)
蛇崩乃音,jakuzure nonon
コジロウ,james (pokemon)
ジェーン・ドゥ（ゼンゼロ）,jane doe (zenless zone zero)
Janna（リーグ・オブ・レジェンド）,janna (league of legends)
雅努斯（艦隊これくしょん）,janus (kancolle)
トキ,japanese crested ibis (kemono friends)
邪神ちゃん,jashin-chan
ミカン,jasmine (pokemon)
Jason・Voorhees（Friday・13th）,jason voorhees (friday the 13th)
Jaune・Arc,jaune arc
标槍（アズールレーン）,javelin (azur lane)
ジン（原神）,jean (genshin impact)
海風の夢,jean (sea breeze dandelion) (genshin impact)
ジャン・バール,jean bart (azur lane)
ジャン=ピエール・ポルナレフ,jean pierre polnareff
ジャンヌ・ダルク（Fate）,jeanne d'arc (fate)
ジャンヌダルク（神撃のバハムート）,jeanne d'arc (granblue fantasy)
ジャンヌ・ダルク（水着アーチャー）（Fate）,jeanne d'arc (swimsuit archer) (fate)
ジャンヌ・ダルク（第三再臨）（Fate）,jeanne d'arc (third ascension) (fate)
ジャンヌ・ダルク〔オルタ〕（Fate）,jeanne d'arc alter (fate)
ジャンヌ・ダルク〔オルタ〕（水着バーサーカー）（Fate）,jeanne d'arc alter (swimsuit berserker) (fate)
ジャンヌ・ダルク〔オルタ〕（新宿1999Ver.）（Fate）,jeanne d'arc alter (ver. shinjuku 1999) (fate)
ジャンヌ・ダルク・オルタ・サンタ・リリィ（Fate）,jeanne d'arc alter santa lily (fate)
B.ジェニー,jenet behrn
ジャーヴィス（艦隊これくしょん）,jervis (kancolle)
ジェシカ,jessica (arknights)
ゼシカ・アルバート,jessica albert
ジェシカ・ラビット,jessica rabbit
ムサシ,jessie (pokemon)
Jessie・Rasberry（FF7）,jessie rasberry (ff7)
ジブリール,jibril (no game no life)
プリン,jigglypuff
ジル・バレンタイン,jill valentine
ジル・ワーリック,jill warrick
ジンベエ,jinbe (one piece)
景元,jing yuan
징버거,jingburger
迅鲸（艦隊これくしょん）,jingei (kancolle)
Jingliu（崩壊：スターレイル）,jingliu (honkai  star rail)
Jinhsi（鳴潮）,jinhsi (wuthering waves)
神通（艦隊これくしょん）,jintsuu (kancolle)
ジンクス（ティーンタイタンズ）,jinx (dc)
Jinx（リーグ・オブ・レジェンド）,jinx (league of legends)
ジラーチ,jirachi
自来也（NARUTO）,jiraiya (naruto)
耳郎響香（僕のヒーローアカデミア）,jirou kyouka
ジョニィ・ジョースター,johnny joestar
约翰斯顿（艦隊これくしょん）,johnston (kancolle)
サンダース,jolteon
ジョナサン・ジョースター,jonathan joestar
城之内克也,jonouchi katsuya
ジョセフ・ジョースター,joseph joestar
Josie・Rizal（鉄拳）,josie rizal (tekken)
定水寺シンリ,josuiji shinri
城崎美嘉（アイドルマスター）,jougasaki mika
城ヶ崎莉嘉,jougasaki rika
杖刀偶磨弓,joutouguu mayumi
ジョーイ,joy (pokemon)
ジュディス,judith (tales)
ユリア（FE）,julia (fire emblem)
Julia・Chang（鉄拳）,julia chang (tekken)
Juliana（ポケモン）,juliana (pokemon)
ボンボン爆弾,jumpy dumpty
君佑（艦隊これくしょん）,jun'you (kancolle)
ジャングルポケット（ウマ娘）,jungle pocket (umamusume)
純潔,junketsu
淳子（ブルーアーカイブ）,junko (blue archive)
纯狐（東方Project）,junko (touhou)
十王星南,juo sena
ジャスティス（Helltaker）,justice (helltaker)
正義実现委员会（ブルーアーカイブ）,justice task force member (blue archive)
儒烏風亭らでん,juufuutei raden
ジュビア・ロクサー,juvia lockser
ケイエスミラクル,k.s.miracle (umamusume)
Ahri（K/DA）,k/da ahri
K/DA アカリ,k/da akali
K・Da・All・Out・Evelynn,k/da all out evelynn
K2（ドールズフロントライン）,k2 (girls' frontline)
かばん,kaban (kemono friends)
カブルー,kabru
鏑木楓,kaburagi kaede
鏑木・T・虎徹,kaburagi t. kotetsu
镝丸（鬼滅の刃）,kaburamaru
徒町小鈴,kachimachi kosuzu
カチナ,kachina (genshin impact)
角谷杏（ガールズ＆パンツァー）,kadotani anzu
勇美カエデ,kaede (blue archive)
楓・J・ヌーベル,kaede johan nouvel
楓原万葉,kaedehara kazuha
カエラ・コヴァルスキア,kaela kovalskia
火焔猫燐（東方Project）,kaenbyou rin
Kaenbyou・Rin（Cat）,kaenbyou rin (cat)
ガイア（原神）,kaeya (genshin impact)
花譜,kaf (kamitsubaki studio)
カフカ（崩壊：スターレイル）,kafka (honkai  star rail)
可不,kafu (cevio)
香風智乃,kafuu chino
加賀（アズールレーン）,kaga (azur lane)
加賀（艦隊これくしょん）,kaga (kancolle)
鑑純夏,kagami sumika
火神大我,kagami taiga
各務原なでしこ,kagamihara nadeshiko
鏡音リン,kagamine rin
鏡音リンappend,kagamine rin (append)
アッコ,kagari atsuko
影片みか,kagehira mika
カゲロウ（FEif）,kagero (fire emblem)
陽炎（艦隊これくしょん）,kagerou (kancolle)
影山シエン,kageyama shien
影山茂夫,kageyama shigeo
键山雛（東方Project）,kagiyama hina
神楽（銀魂）,kagura (gintama)
神楽めあ,kagura mea
神楽坂明日菜,kagurazaka asuna
輝夜（ブルーアーカイブ）,kaguya (blue archive)
輝夜月,kaguya luna
花帆（ブルーアーカイブ）,kaho (blue archive)
Kai'sa,kai'sa
海防艦四号（艦隊これくしょん）,kaiboukan no. 4 (kancolle)
海藤みなみ,kaidou minami
カイネ,kaine (nier)
カイリ,kairi (kingdom hearts)
カイト,kaito (vocaloid)
怪盗キッド,kaitou kid
界塚伊奈帆,kaizuka inaho
加治木由美（咲-Saki-）,kajiki yumi
笕堇（NARUTO）,kakei sumire (naruto)
垣根帝督,kakine teitoku
加古（艦隊これくしょん）,kako (kancolle)
霍青娥（東方Project）,kaku seiga
花京院典明,kakyoin noriaki
ケルシー,kal'tsit (arknights)
格琳娜,kalina (girls' frontline)
カレン・カスラナ,kallen kaslana
カーマ（Fate）,kama (fate)
カーマ（水着アヴェンジャー）（Fate）,kama (swimsuit avenger) (fate)
灶門禰豆子（鬼滅の刃）,kamado nezuko
灶門炭治郎（鬼滅の刃）,kamado tanjirou
Kamijou・Touma,kamijou touma
神風（艦隊これくしょん）,kamikaze (kancolle)
神北小毬,kamikita komari
カミナ,kamina (ttgl)
上鳴電気（僕のヒーローアカデミア）,kaminari denki
神尾観鈴,kamio misuzu
神里綾華,kamisato ayaka
花時に訪れた手紙,kamisato ayaka (springbloom missive)
綾人,kamisato ayato
上白沢慧音（東方Project）,kamishirasawa keine
神代类（プロジェクトセカイ）,kamishiro rui
神谷奈緒（アイドルマスター）,kamiya nao
神威（艦隊これくしょん）,kamoi (kancolle)
神威がくぽ,kamui gakupo
神座出流（ダンガンロンパ）,kamukura izuru
Kana（ファイアーエムブレム）,kana (fire emblem)
奏手イヅル,kanade izuru
葉（にじさんじ）,kanae (nijisanji)
カナメ・バッカニア,kaname buccaneer
鹿目円（魔法少女まどか☆マギカ）,kaname madoka
要楽奈（BanG Dream!）,kaname raana
金森さやか,kanamori sayaka
金糸雀,kanaria
神田瑞樹,kanda mizuki
金木研,kaneki ken
尾刃環奈（ブルーアーカイブ）,kanna (blue archive)
KNN姉貴,kanna (cookie)
尾刃環奈（水着）（ブルーアーカイブ）,kanna (swimsuit) (blue archive)
カンナカムイ,kanna kamui
カノ,kano shuuya
嘉音,kanon (umineko)
嘉納扇,kanou aogu
甘露寺蜜璃（鬼滅の刃）,kanroji mitsuri
神裂火織,kanzaki kaori
神崎蘭子（アイドルマスター シンデレラガールズ）,kanzaki ranko
神月かりん,kanzuki karin
KAR98K（ドールズフロントライン）,kar98k (girls' frontline)
角楯花凛（ブルーアーカイブ）,karin (blue archive)
カリン（バニーガール）,karin (bunny) (blue archive)
カリン,karin (p&d)
角楯花凛-学校制服（ブルーアーカイブ）,karin (school uniform) (blue archive)
狩屋マサキ,kariya masaki
カルナ（Fate）,karna (fate)
カーズ（ジョジョの奇妙な冒険）,kars (jojo)
キャル,karyl (princess connect!)
キャル（サマー）,karyl (summer) (princess connect!)
菓彩あまね,kasai amane
傘木希美,kasaki nozomi
重音テト,kasane teto
重音テトSV,kasane teto (sv)
歌仙兼定,kasen kanesada
鹿島（艦隊これくしょん）,kashima (kancolle)
鹿島-羅森联动版（艦隊これくしょん）,kashima (lawson) (kancolle)
樫野（アズールレーン）,kashino (azur lane)
樫野-温泉放松（アズールレーン）,kashino (hot springs relaxation) (azur lane)
柏崎星奈,kashiwazaki sena
加州清光,kashuu kiyomitsu
幽谷響子（東方Project）,kasodani kyouko
春日野さくら,kasugano sakura
春日部つむぎ,kasukabe tsumugi
霞（ブルーアーカイブ）,kasumi (blue archive)
霞,kasumi (doa)
霞（艦隊これくしょん）,kasumi (kancolle)
カスミ（プリコネ）,kasumi (princess connect!)
霞改二（艦隊これくしょん）,kasumi kai ni (kancolle)
霞改二（水着）（艦隊これくしょん）,kasumi kai ni (swimsuit) (kancolle)
霞ヶ丘詩羽,kasumigaoka utaha
カタリナ,katalina (granblue fantasy)
片岡優希,kataoka yuuki
Katarina（リーグ・オブ・レジェンド）,katarina (league of legends)
カタリナ・クラエス,katarina claes
香取（艦隊これくしょん）,katori (kancolle)
加藤明日香,katou asuka
加藤段蔵（Fate）,katou danzou (fate)
加藤恵,katou megumi
勝生勇利,katsuki yuuri
